;_id;masked;Kompetenz;Inkompetenz;Wärme;Kälte;Benefit Wirtschaft;Threat Wirtschaft;Benefit Sicherheit;Threat Sicherheit;Benefit Kultur;Threat Kultur
0;6327128c3dd49b919c1102f8;Haju Abdi Dhiblawe, ein Geschäftsmann, der Weizenmehl importiert, befürchtet, dass es sogar noch schlimmer wird. Denn es droht ein Mangel an Schiffscontainern, um Nahrungsmittel von anderswo her nach [Gruppe1] zu transportieren. „Die [Gruppe1] haben keinen Ort, um Weizen anzubauen, und wir wissen nicht einmal, wie man ihn anbaut“, sagt er. „Unsere Hauptsorge ist, was uns die Zukunft bringen wird, wenn uns die Lieferungen ausgehen.“;0;0;0;0;0;0;0;0;0;0
1;6327129a3dd49b919c16af2e;Mehr als zwei Jahre nach dem qualvollen Tod von 39 vietnamesischen [Gruppe1] in einem Kühllastwagen in Großbritannien hat ein belgisches Gericht einen Schleuser zu 15 Jahren Haft verurteilt. Der 45-jährige Vietnamese habe eine führende Rolle in dem Fall gespielt, urteilte das Gericht in Brügge. Gegen den Mann wurde zudem eine Geldstrafe in Höhe von knapp einer Million Euro verhängt.;0;0;0;0;0;0;0;0;0;0
2;638a5a8385bdc1cf6d07393d;ASYL: Wegen der hohen Zuwanderungszahlen sind die Bundesländer und die Kommunen in Deutschland laut Bayerns Innenminister Joachim Herrmann (CSU) „am Limit“. Finanzielle Hilfe reiche daher nicht aus. Der Bund müsse sich auch um eine Begrenzung der irregulären Migration und eine konsequente Rückführung abgelehnter Asylbewerber kümmern. Und angesichts der angespannten Lage müsse der Bund auch bereits avisierte Aufnahmeprogramme nochmals kritisch hinterfragen. Bereits zugesagt hat die Bundesregierung die Aufnahme von aus Seenot geretteten [Gruppe4], die nach Italien gebracht wurden. Außerdem gibt es ein Programm für besonders schutzbedürftige [Gruppe1].;0;0;0;0;0;1;0;0;0;0
3;632712b13dd49b919c1f812f;Die Maschine hob mit nur sieben Personen an Bord in Kabul ab. Der für den Flug registrierte Rest gelangte im Chaos jener Tage nicht ans Gate. US-Flugzeuge brachten schließlich 189 [Gruppe1] in Sicherheit, die im von den deutschen Helfern gecharterten Airbus A 320 mitfliegen sollten. Wenige Tage später überließen die Amerikaner den Flughafen den Taliban.;0;0;0;0;0;0;0;0;0;0
4;63a939750e0cf85f080b9e53;Tatsächlich zieren Fotos mit FIFA-Chef Infantino, einigen argentinischen Nationalspielern sowie dem katarischen Emir Tamim bin Hamad Al Thani das Instagram-Profil des [Gruppe1]. Ein Foto mit dem Objekt seiner Begierde gelang Salt Bae schließlich, als er den argentinischen Mittelfeldspieler Ángel Di María traf. Zu sehen ist, wie Gökçe gemeinsam mit Di María und dem WM-Pokal posiert und dabei ein beherztes „Miau“ von sich gibt – was dem sichtlich verwirrten Argentinier zumindest eine „Daumen hoch“-Geste entlockt.;1;0;0;0;0;0;0;0;0;0
5;632712913dd49b919c1347a1;Panorama 10.02.2023 02:17 min Komplizierte Hilfe nach Erdbeben [Gruppe1] erleben Katastrophe nach der Katastrophe Politik 10.02.2023 01:50 min;0;0;0;0;0;0;0;0;0;0
6;632712773dd49b919c0800a6;Sie verwies darauf, dass Deutschland direkt nach Beginn des Krieges Soforthilfe von 185 Millionen Euro bereitgestellt habe. Diese Unterstützung solle nun mit bereits zugesagten 406 Millionen Euro fortgesetzt werden. „Der Schwerpunkt soll auf der Unterstützung innerhalb des Landes [Gruppe1] Familien liegen, sagte Schulze.;0;0;0;0;0;1;0;0;0;0
7;632712943dd49b919c1468cc;Der junge Mann war mit Anfang zwanzig eingezogen worden und musste im Ersten Weltkrieg gegen die [Gruppe1] kämpfen. Auf der Karte, die er an seinen Schwager Roy Coombridge schickte, der damals gerade mal 14 Jahre alt war und auf einer Farm in Neuseeland lebte, schrieb er, dass er „in ein paar Tagen wieder zu den [Gruppe1] zurückkehren“ werde. Und: „Es kann lange dauern, bis ich wieder schreiben kann.“;0;0;0;0;0;0;0;0;0;0
8;632712803dd49b919c0ba2a4;Die Ermittler waren zunächst davon ausgegangen, dass der damals 27 Jahre alte [Gruppe1] bei der Tat in dem Zug psychisch krank war. Im Zuge der Ermittlungen wurde jedoch klar, dass er der radikal-islamistischen Szene zuzuordnen ist und aus Hass gegen das freiheitliche System des Westens gehandelt hatte. In seinem Umfeld waren Verbindungen zum Terrornetzwerk Islamischer Staat (IS) gefunden worden.;0;0;0;0;0;0;0;1;0;0
9;63763fa64493acc04303c82b;"
Mehr zum Thema Dresden Crime: Drei Jugendliche in Gorbitz brutal ausgeraubt: Kripo ermittelt
Katalysatoren-Klau in Dresden: Opel sind derzeit besonders beliebt
[Gruppe1] beim Eislaufen ausländerfeindlich beschimpft: Polizei sucht Zeugen";0;0;0;0;0;0;0;0;0;0
10;633c132aec99a22262090b29;Die [Gruppe1] sagte zu dem Uniformierten: „Das ist mein Haus, geh raus!“ Der antwortete unter anderem in diesen Worten: „Das ist mein Land und du bist hier Gast!“ Die Frau, die es als Mutter zuließ, dass Kinder, darunter ein Kleinkind, Zeugen der Auseinandersetzungen wurden, wirkte dabei immer wieder mit Händen und mit Schreien auf den Polizisten ein, der daraufhin erwiderte: „Du bist hier in meinem Land, du hast dich nach unseren Gesetzen zu verhalten! Schrei mich nicht an und fass mich nie wieder an, ich bringe dich ins Gefängnis.“ Der Pulverdampf der üblichen Empörungsvertreter hat sich langsam gelegt. Zeit für eine Betrachtung der Geschehnisse.;0;0;0;0;0;0;0;0;0;1
11;632712703dd49b919c05dd94;"
US-Senator Marco Rubio greift für seine Kritik an US-Präsident Joe Biden auf seine Familiengeschichte zurück. Als Sohn kubanischer [Gruppe1] komme ihm „die Razzia von Joe Bidens FBI“ im Anwesen von dessen Vorgänger Donald Trump allzu bekannt vor, hieß es in einer Werbemail Rubios. „Sobald diese radikalen Diktatoren die Macht übernommen haben, verfolgen sie erst ihre politischen Gegner. Als nächstes nehmen sie jeden ins Visier, der sich auf die Seite ihrer politischen Gegner stellt - bis sie jeden einsperren, der nicht mit ihnen übereinstimmt.“ Ein Klick auf den Button „Stoppt die Linke“ führt zur Spendenseite, die von einem Trump-Foto dominiert wird.";0;0;0;0;0;0;0;0;0;0
12;632712ab3dd49b919c1d93f7;Diese Maßnahme wird vom Bund mit „Sicherheitsinteressen“ begründet, das Land Berlin hat dabei kein Mitspracherecht. Welche Sicherheit hier bedroht sein soll, ist jedoch unklar. Schließlich geht es nicht um die Erlangung eines Aufenthaltstitels, sondern um den Bezug von Leistungen zur Grundsicherung. Dass dieser für [Gruppe1]*in­nen erschwert wird, erinnert nur allzu sehr an das rassistische Vorurteil des „Sozialtourismus“ aus Osteuropa, der von rechten Po­li­ti­ke­r*in­nen immer wieder bemüht wird, um ihre Ablehnung gegenüber Mi­gran­t*in­nen zu begründen.;0;0;0;0;0;1;0;0;0;0
13;632712c33dd49b919c26e4e1;Auch die Weltbank hilft: „Wir haben einige unserer Lang­zeit­projekte ausgeweitet und neu fokussiert, um [Gruppe1] Regierung bei der Dürre­bewältigung zu unterstützen“, sagt Landes­vertreterin Kristina Svensson. Geholfen werde unter anderem durch Wasserprojekte und Zuschüsse für 500.000 Haushalte. Jedoch herrscht Sorge, dass die Hilfe nicht ausreicht. Obwohl das UN‑Welt­ernährungs­programm (WFP) mit 3,7 Millionen so viele [Gruppe1] mit Notrationen versorgt wie nie zuvor, droht eine Hungersnot. Dazu meint Hashi: „Viele internationale Organisationen und Spender haben ihren Fokus auf die Krise in der [Gruppe5] verlegt.“;0;0;0;0;0;1;0;0;0;0
14;632712943dd49b919c146086;Insgesamt wurden seinen Angaben zufolge 400 Zivilisten getötet und mindestens 800 verletzt. Diese Daten seien jedoch „definitiv unvollständig“, sagte Resnikow. Die Zahlen unabhängig zu bestätigen, war zunächst nicht möglich. Zuletzt verifizierte das UN-Hochkommissariat für Menschenrechte 364 Tote [Gruppe1] im Zusammenhang russischer Angriffe, darunter 25 Kinder. Die tatsächlichen Zahlen lägen jedoch um einiges höher, vermutet die UN.;0;0;0;0;0;0;0;0;0;0
15;632712b03dd49b919c1f3fc8;Hermann bezog sich auf aktuelle Zahlen des Bundesamts für Migration und [Gruppe3] (BAMF), wonach immer weniger [Gruppe4] mit höherer Bildung in Deutschland um Asyl bitten. So habe beispielsweise über die Hälfte aller nach Deutschland kommenden [Gruppe2] und [Gruppe1] nur Bildung auf Grundschulniveau. Auch [Gruppe7] [Gruppe4] verfügten über einen immer niedrigeren Bildungsstand. „Von qualifizierter Zuwanderung kann hier auch keine Rede sein“, bekräftigte der Minister. „Ich warne die Bundesregierung davor, Anreize zu setzen, daß sich noch mehr unqualifizierte Menschen in der Hoffnung auf Arbeit auf den Weg nach Deutschland machen.“;1;0;0;0;0;1;0;0;0;0
16;636143bd5ce81f94910ab247;Dafür kommt Kritik von der CDU. Sozial-Sprecherin Sigrid Grönert (63): „Gegen jeden Rat hat der Senat mehr [Gruppe1] aufgenommen, als Bremen es nach Einwohnerzahl und Steueraufkommen müsste. Gleichzeitig wurde versäumt, die mögliche Umverteilung unbegleiteter Minderjähriger durchzusetzen. Die linke [Gruppe1]politik ist gescheitert!“;0;0;0;0;0;0;0;0;0;0
17;632712823dd49b919c0c9e8f;Litauen hatte die Anreize für rückkehrwillige [Gruppe1] zuletzt deutlich erhöht. Um sie zur Rückkehr in den Irak zu bewegen, wurde ihnen eine Einmalzahlung von 1000 Euro pro Person zugesagt. Dieses Angebot gilt noch bis zum 20. Januar. Bei Bedarf könnten weitere Charterflüge organisiert werden, sagte der stellvertretende Leiter des Grenzschutzes im litauischen Radio.;0;0;0;0;0;1;0;0;0;0
18;632712903dd49b919c12fbf8;Danach waren Asylentscheidungen zurückgestellt worden, weil das Bundesamt für Migration und [Gruppe3] (BAMF) auf eine neue Einschätzung der Lage in [Gruppe1] durch die Bundesregierung wartete. Seit dem 1. Dezember werden auf Basis neuer Leitsätze wieder Entscheidungen zu Anträgen von [Gruppe1] getroffen. Die Bundeswehr war Ende Juni 2021 nach einem 20-jährigen Einsatz aus [Gruppe1] abgezogen. In der Folge des Abzugs aller auswärtigen Streitkräfte gewannen die militant-islamistischen Taliban die Oberhand in dem Land, Mitte August auch in der Hauptstadt Kabul.;0;0;0;0;0;0;0;0;0;0
19;6327128b3dd49b919c10cf3e;Ein Polizist, der in der Nähe einen Verkehrsunfall aufgenommen habe, sei sofort herbei geeilt. „Er konnte den Angriff nur durch den Einsatz seiner Schusswaffe unterbinden und gab mehrere Schüsse ab“, heißt es in der Mitteilung der Ermittler. Dabei wurde der 32-jährige [Gruppe1] verletzt. Mit wie vielen Schüssen und wie schwer, war zunächst unklar. Er werde im Krankenhaus bewacht.;0;0;0;0;0;0;0;1;0;0
20;6327128b3dd49b919c10d4e1; Bei der Ermittlung von Kriegsverbrechen in der [Gruppe3] setzen deutsche Behörden auf Zeugenaussagen von [Gruppe1]. „Die [Gruppe1] sind für uns auch potenzielle Zeugen von Kriegsverbrechen: Ihre Aussagen können für die Strafverfolgung von immenser Bedeutung sein“, sagte der Chef des Bundeskriminalamts, Holger Münch, dem RedaktionsNetzwerk Deutschland (RND). ;0;0;0;0;0;0;0;0;0;0
21;632712ab3dd49b919c1d8376;Wie das konkret aussehen könnte, wird jetzt klarer: Die bezirklichen Sozialämter, wo die [Gruppe1] bereits Leistungen beantragen können, sollen eine freiwillige Berufe-Abfrage bei den An­trag­stel­le­r*in­nen durchführen. In Mitte sei das die angedachte Praxis, bestätigte Schulstadträtin Stefanie Remlinger (Grüne) der taz. Allerdings habe sie noch keine Rückmeldungen aus dem Sozialamt, ob es schon auswertbare Ergebnisse gebe – und ob es überhaupt Ressourcen dafür gibt, angesichts des Andrangs auf den Sozialämtern. „Es ist gerade alles sehr im Aufbau“, sagte Remlinger.;0;0;0;0;0;0;0;0;0;0
22;632ccdc1a0d250ea9b0cd1ce;"Mehr aus Politik
883 Vollstreckungen in 2022Zahl der Hinrichtungen weltweit erreicht neuen RekordDie Menschenrechtsorganisation Amnesty International hat einen neuen Höchststand an vollstreckten Todesstrafen beobachtet. Im Jahr 2022 sind weltweit mindestens 833 Menschen hingerichtet worden – 65 Prozent davon im Iran. Beobachter rechnen mit einer hohen Dunkelziffer.„Gerade keine leichte Zeit für uns“Berliner Heizungsstreit und Bremer „Brötchentaste“: die Grünen in der KriseZwar errangen die Grünen bei den Kommunalwahlen in Schleswig-Holstein bisweilen sehr gute Ergebnisse. In Bremen allerdings erlebten sie ein Desaster und müssen um den Verbleib in der Regierung bangen. Das passt zur Gesamtsituation der Partei, die nicht besonders rosig ist.Was passiert mit dem OligarchenvermögenScholz beim Europarat: Zahlt Russland für den Wiederaufbau der [Gruppe5]?Der Europarat tagt erstmals seit 18 Jahren wieder auf Chefebene, der Kanzler fliegt dafür nach Island. Die für den Wiederaufbau der [Gruppe5] nötige Gesamtsumme wird auf bis zu eine Billion US-Dollar geschätzt – je nach dem wie lange der Krieg dauert. Eine entscheidende Frage ist, ob eingefrorene Milliarden der russischen Zentralbank oder von Oligarchen dafür eingesetzt werden.Empfehlungen zur Gesundheit der BevölkerungÄrztepräsident Reinhardt fordert Einführung eines „Deutschen Gesundheitsrates“Am Dienstag beginnt der 127. Ärztetag in Essen. Ärztepräsident Klaus Reinhardt fordert die Politik auf, nach dem Vorbild des Ethikrates einen „Deutschen Gesundheitsrat“ einzurichten. Es gebe heute kaum ein Politikfeld, das nicht mit gesundheitlichen Belangen der Menschen verwoben sei, argumentiert er.Zwei Drittel für ErdoganKurdische Gemeinde kritisiert Wahlverhalten der [Gruppe1] in Deutschland„Das ist auch ein Problem für Deutschland“: Der Vorsitzende der Kurdischen Gemeinde in Deutschland. Eli Ertan Toprak, hat das Wahlverhalten der in Deutschland wahlberechtigten [Gruppe1] kritisiert. „Die Menschen, die hier die Demokratie genießen, unterstützen eine Autokratie in der [Gruppe1]“, sagte Toprak dem RND.";0;0;0;0;0;0;0;0;0;1
23;632712953dd49b919c14aca9;2015 war der [Gruppe1] erstmals in Deutschland registriert worden. Seither fiel er zwar mehrmals wegen psychischer Probleme auf. Bis zum Tattag hatten die Behörden aber nach eigenen Angaben keine Hinweise darauf, dass der Mann andere Menschen gefährden könnte.;0;0;0;0;0;0;0;1;0;0
