,Unnamed: 0,_id,text,label
0,0,6327128c3dd49b919c1102f8,"Haju Abdi Dhiblawe, ein Geschäftsmann, der Weizenmehl importiert, befürchtet, dass es sogar noch schlimmer wird. Denn es droht ein Mangel an Schiffscontainern, um Nahrungsmittel von anderswo her nach [Zielgruppe] zu transportieren. „Die [Zielgruppe] haben keinen Ort, um Weizen anzubauen, und wir wissen nicht einmal, wie man ihn anbaut“, sagt er. „Unsere Hauptsorge ist, was uns die Zukunft bringen wird, wenn uns die Lieferungen ausgehen.“",0.0
1,1,6327129a3dd49b919c16af2e,"Mehr als zwei Jahre nach dem qualvollen Tod von 39 vietnamesischen [Zielgruppe] in einem Kühllastwagen in Großbritannien hat ein belgisches Gericht einen Schleuser zu 15 Jahren Haft verurteilt. Der 45-jährige Vietnamese habe eine führende Rolle in dem Fall gespielt, urteilte das Gericht in Brügge. Gegen den Mann wurde zudem eine Geldstrafe in Höhe von knapp einer Million Euro verhängt.",0.0
2,2,638a5a8385bdc1cf6d07393d,"ASYL: Wegen der hohen Zuwanderungszahlen sind die Bundesländer und die Kommunen in Deutschland laut Bayerns Innenminister Joachim Herrmann (CSU) „am Limit“. Finanzielle Hilfe reiche daher nicht aus. Der Bund müsse sich auch um eine Begrenzung der irregulären Migration und eine konsequente Rückführung abgelehnter Asylbewerber kümmern. Und angesichts der angespannten Lage müsse der Bund auch bereits avisierte Aufnahmeprogramme nochmals kritisch hinterfragen. Bereits zugesagt hat die Bundesregierung die Aufnahme von aus Seenot geretteten [Gruppe4], die nach Italien gebracht wurden. Außerdem gibt es ein Programm für besonders schutzbedürftige [Zielgruppe].",0.0
3,3,632712b13dd49b919c1f812f,"Die Maschine hob mit nur sieben Personen an Bord in Kabul ab. Der für den Flug registrierte Rest gelangte im Chaos jener Tage nicht ans Gate. US-Flugzeuge brachten schließlich 189 [Zielgruppe] in Sicherheit, die im von den deutschen Helfern gecharterten Airbus A 320 mitfliegen sollten. Wenige Tage später überließen die Amerikaner den Flughafen den Taliban.",0.0
4,4,63a939750e0cf85f080b9e53,"Tatsächlich zieren Fotos mit FIFA-Chef Infantino, einigen argentinischen Nationalspielern sowie dem katarischen Emir Tamim bin Hamad Al Thani das Instagram-Profil des [Zielgruppe]. Ein Foto mit dem Objekt seiner Begierde gelang Salt Bae schließlich, als er den argentinischen Mittelfeldspieler Ángel Di María traf. Zu sehen ist, wie Gökçe gemeinsam mit Di María und dem WM-Pokal posiert und dabei ein beherztes „Miau“ von sich gibt – was dem sichtlich verwirrten Argentinier zumindest eine „Daumen hoch“-Geste entlockt.",0.0
5,5,632712913dd49b919c1347a1,Panorama 10.02.2023 02:17 min Komplizierte Hilfe nach Erdbeben [Zielgruppe] erleben Katastrophe nach der Katastrophe Politik 10.02.2023 01:50 min,0.0
6,6,632712773dd49b919c0800a6,"Sie verwies darauf, dass Deutschland direkt nach Beginn des Krieges Soforthilfe von 185 Millionen Euro bereitgestellt habe. Diese Unterstützung solle nun mit bereits zugesagten 406 Millionen Euro fortgesetzt werden. „Der Schwerpunkt soll auf der Unterstützung innerhalb des Landes [Zielgruppe] Familien liegen, sagte Schulze.",0.0
7,7,632712943dd49b919c1468cc,"Der junge Mann war mit Anfang zwanzig eingezogen worden und musste im Ersten Weltkrieg gegen die [Zielgruppe] kämpfen. Auf der Karte, die er an seinen Schwager Roy Coombridge schickte, der damals gerade mal 14 Jahre alt war und auf einer Farm in Neuseeland lebte, schrieb er, dass er „in ein paar Tagen wieder zu den [Zielgruppe] zurückkehren“ werde. Und: „Es kann lange dauern, bis ich wieder schreiben kann.“",0.0
8,8,632712803dd49b919c0ba2a4,"Die Ermittler waren zunächst davon ausgegangen, dass der damals 27 Jahre alte [Zielgruppe] bei der Tat in dem Zug psychisch krank war. Im Zuge der Ermittlungen wurde jedoch klar, dass er der radikal-islamistischen Szene zuzuordnen ist und aus Hass gegen das freiheitliche System des Westens gehandelt hatte. In seinem Umfeld waren Verbindungen zum Terrornetzwerk Islamischer Staat (IS) gefunden worden.",1.0
12,12,632712ab3dd49b919c1d93f7,"Diese Maßnahme wird vom Bund mit „Sicherheitsinteressen“ begründet, das Land Berlin hat dabei kein Mitspracherecht. Welche Sicherheit hier bedroht sein soll, ist jedoch unklar. Schließlich geht es nicht um die Erlangung eines Aufenthaltstitels, sondern um den Bezug von Leistungen zur Grundsicherung. Dass dieser für [Zielgruppe]*in­nen erschwert wird, erinnert nur allzu sehr an das rassistische Vorurteil des „Sozialtourismus“ aus Osteuropa, der von rechten Po­li­ti­ke­r*in­nen immer wieder bemüht wird, um ihre Ablehnung gegenüber Mi­gran­t*in­nen zu begründen.",0.0
